"ZONA";"PLANTA";"DIA_MES";"HORAS_TRABAJO"
"NORTE";"GORBEA";"06";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"06";0,4833333333333333333333333333333333333333
"NORTE";"GORBEA";"06";0,6
"NORTE";"GORBEA";"06";0,5833333333333333333333333333333333333333
"NORTE";"GORBEA";"06";0,85
"NORTE";"GORBEA";"07";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,6
"NORTE";"GORBEA";"07";1,01666666666666666666666666666666666667
"NORTE";"GORBEA";"07";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"07";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,8333333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,7333333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,9166666666666666666666666666666666666667
"NORTE";"GORBEA";"07";0,8666666666666666666666666666666666666667
"NORTE";"GORBEA";"07";1,03333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,9666666666666666666666666666666666666667
"NORTE";"GORBEA";"07";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"07";1,56666666666666666666666666666666666667
"NORTE";"GORBEA";"07";0,7
"NORTE";"GORBEA";"07";0,75
"NORTE";"GORBEA";"07";0,6
"NORTE";"GORBEA";"07";0,5833333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"07";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,3166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"08";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"08";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9666666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,1666666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,3666666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"08";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9833333333333333333333333333333333333333
"NORTE";"GORBEA";"08";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"08";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"08";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"08";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"08";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"08";0,55
"NORTE";"GORBEA";"08";0,5333333333333333333333333333333333333333
"NORTE";"GORBEA";"08";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9666666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,5
"NORTE";"GORBEA";"08";0,9666666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9
"NORTE";"GORBEA";"08";0,9166666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,8666666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,5
"NORTE";"GORBEA";"08";2,1
"NORTE";"GORBEA";"08";1,61666666666666666666666666666666666667
"NORTE";"GORBEA";"08";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"09";0,9
"NORTE";"GORBEA";"09";0,8666666666666666666666666666666666666667
"NORTE";"GORBEA";"09";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"09";1,23333333333333333333333333333333333333
"NORTE";"GORBEA";"09";0,85
"NORTE";"GORBEA";"09";0,9833333333333333333333333333333333333333
"NORTE";"GORBEA";"09";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"09";0,9166666666666666666666666666666666666667
"NORTE";"GORBEA";"09";0,9
"NORTE";"GORBEA";"09";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"09";0,9166666666666666666666666666666666666667
"NORTE";"GORBEA";"09";0,9
"NORTE";"GORBEA";"09";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"09";0,9166666666666666666666666666666666666667
"NORTE";"GORBEA";"09";0,95
"NORTE";"GORBEA";"09";1,11666666666666666666666666666666666667
"NORTE";"GORBEA";"09";1
"NORTE";"GORBEA";"09";0,9
"NORTE";"GORBEA";"09";0,95
"NORTE";"GORBEA";"09";1,7
"NORTE";"GORBEA";"09";0,85
"NORTE";"GORBEA";"09";0,9
"NORTE";"GORBEA";"09";1,06666666666666666666666666666666666667
"NORTE";"GORBEA";"10";0,95
"NORTE";"GORBEA";"10";0,8666666666666666666666666666666666666667
"NORTE";"GORBEA";"10";0,9
"NORTE";"GORBEA";"10";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"10";0,9333333333333333333333333333333333333333
"NORTE";"GORBEA";"10";1,01666666666666666666666666666666666667
"NORTE";"GORBEA";"10";0,9166666666666666666666666666666666666667
"NORTE";"GORBEA";"10";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"10";0,7333333333333333333333333333333333333333
"NORTE";"GORBEA";"10";0,95
"NORTE";"GORBEA";"10";1
"NORTE";"GORBEA";"10";0,9
"NORTE";"GORBEA";"10";0,8166666666666666666666666666666666666667
"NORTE";"GORBEA";"11";0,9
"NORTE";"GORBEA";"11";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"11";0,5
"NORTE";"GORBEA";"11";1,16666666666666666666666666666666666667
"NORTE";"GORBEA";"11";0,6666666666666666666666666666666666666667
"NORTE";"GORBEA";"11";1
"NORTE";"GORBEA";"11";0,2833333333333333333333333333333333333333
"NORTE";"GORBEA";"11";0,7833333333333333333333333333333333333333
"NORTE";"GORBEA";"11";0,5333333333333333333333333333333333333333
"NORTE";"GORBEA";"11";0,9833333333333333333333333333333333333333
"NORTE";"GORBEA";"11";0,8833333333333333333333333333333333333333
"NORTE";"GORBEA";"11";1,41666666666666666666666666666666666667
"NORTE";"GORBEA";"11";0,7
"NORTE";"GORBEA";"11";0,0166666666666666666666666666666666666667
"NORTE";"GORBEA";"11";0,6833333333333333333333333333333333333333
"NORTE";"GORBEA";"11";0,6666666666666666666666666666666666666667
"NORTE";"GORBEA";"11";0,4833333333333333333333333333333333333333
"NORTE";"GORBEA";"11";1,38333333333333333333333333333333333333
