country;store_url;address;GOOGLE_address;latitude;longitude
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-arese;Centro Commerciale II Centro, Via Giuseppe Eugenio Luraghi, 11, Arese 20020;Via Giuseppe Eugenio Luraghi, 11, 20020 Arese MI, Italy;45.56338909999999;9.052476799999999
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-bergamo;Centro Commerciale Orio Center, Via Portico, 71, Orio al Serio 24050;Via Portico, 71, 24050 Orio al Serio BG, Italy;45.66421949999999;9.694914299999999
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-carugate;Centro Commerciale Carosello, Strada Provinciale 208, km 2, Carugate 20061;SP208, km 2, 20061 Carugate MI, Italy;45.54622519999999;9.329108399999999
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-euroma-2;Centro Commerciale Euroma 2, Viale dell'Oceano Pacifico, 83, Roma 00144;Viale dell'Oceano Pacifico, 83, 00144 Roma RM, Italy;41.81707300000001;12.4595669
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-marcianise;Centro Commerciale Campania, Località Aurno, 87, Marcianise 81025;S.S. Sannitica 87, 81025 Loc. Aurno, Marcianise CE, Italy;41.00376989999999;14.3280957
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-marghera;Centro Commerciale Nave De Vero, Via Pietro Arduino, 20, Venezia 30175;Via Pietro Arduino, 20, 30175 Venezia VE, Italy;45.4595237;12.2125422
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-milano-monforte;Corso Monforte 2, angolo Piazza San Babila , Milano 20122 ;Piazza S. Babila, 20121 Milano MI, Italy;45.4668206;9.1977583
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-palermo;Centro Commerciale Palermo Forum, Via Filippo Pecoraino, Palermo 90100;Via Filippo Pecoraino, 90124 Palermo PA, Italy;38.0890315;13.4113672
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-porta-di-roma;Galleria Commerciale Porta di Roma, Via Alberto Lionello, 201, Roma 139;Via Alberto Lionello, 201, 00139 Roma RM, Italy;41.972031;12.540876
Italy;https://www.lego.com/en-us/stores/stores/it/lego-certified-store-roma-tomacelli;Via Tomacelli 142, Roma 186 ;Via Tomacelli, 142, 00186 Roma RM, Italy;41.9048232;12.4774606
