"TEMPEXT"|"KWCLT"|"KWIT"
25,215431|242,55|465,35
25,235466|262,61|460,09
25,245487|313,01|470,87
25,265522|275,33|473,85
25,285564|288,63|469,97
25,32564|270,02|472,58
25,335653|227,14|458,07
25,335653|308,22|466,83
25,335653|258,74|466,13
25,355694|244,28|459,4
25,375729|262,06|461,97
25,375729|294,63|469,27
25,38575|269,8|475,79
25,405783|301,35|472,68
25,415802|270,06|464,11
25,415802|260,63|459,02
25,445856|293,9|472,72
25,47591|310,99|463,12
25,485929|292,55|474,38
25,495951|302,73|466,23
25,50597|255,11|458,02
25,50597|270,31|465,49
25,515982|264,32|466,62
25,536022|250,1|465,93
25,546036|289,28|463,65
25,556055|262,87|459,42
25,586107|272,33|466,38
25,586107|258,87|474,75
25,606146|258,54|460,65
25,606146|268,26|470,3
25,616158|266,53|465,42
25,636198|264,37|463,71
25,646217|272,42|471,34
25,656229|255,06|471,81
25,666248|297,01|475,46
25,676268|272,05|464,78
25,696299|249,43|466,88
25,696299|293,74|469,43
25,706318|313,8|470,6
25,716337|268,18|463,76
25,736368|282,75|458,73
25,736368|309,41|473,01
25,736368|275,39|461,73
25,746387|268,26|463,86
25,756407|275,07|475,53
25,756407|263,38|457,63
25,766418|276,62|467,39
25,766418|269,69|459,88
25,776438|264,12|460,84
25,776438|248,47|461,06
25,796467|267,94|454,56
25,806486|274,82|465,34
25,836535|287,99|470,02
25,866583|270,73|456,21
25,876602|264,4|455,03
25,876602|275,99|462,06
25,886621|284,18|467,67
25,906651|270,61|473,71
25,936699|279,8|465
25,946716|250,73|466,25
25,986782|271,52|459,27
25,996799|336,23|462,06
26,006819|277,76|473,59
26,026846|308,22|470,07
26,036865|297,95|463,48
26,036865|280,66|459,43
26,046875|297,2|462,68
26,06691|292,8|458,43
26,076929|274,05|459,3
26,076929|294,47|470,52
26,076929|279,84|458,06
26,096956|290,27|466,61
26,096956|313,08|459,75
26,096956|268|460,76
26,106974|294,12|469,38
26,127003|295,21|467,29
26,127003|297,26|468,2
26,13702|310,34|459,45
26,13702|273,3|465,57
26,157047|269,44|459,59
26,167065|269,54|455,16
26,207127|272,95|467,61
26,247187|306,47|473,24
26,247187|276,92|470,17
26,267214|296,46|459,6
26,277231|269,62|462,51
26,287249|298,2|475,75
26,287249|303,53|461,75
26,287249|320,06|469,43
26,297256|301,93|457,97
26,297256|267,96|457,69
26,297256|251,81|455,09
26,317291|297,34|462,54
26,317291|265,17|463,47
26,327309|290,81|456,42
26,327309|265,82|465,35
26,337317|279,7|475,13
26,347334|304,53|470,81
26,357351|256,77|459,98
26,357351|339,78|472,5
26,357351|261,41|457,12
26,367359|286,86|473,04
26,377377|299,94|471,4
26,427452|295,39|465,42
26,43746|277,85|465,96
26,447477|262,76|457,3
26,467508|294,19|469,53
26,477518|294,71|459,78
26,477518|294,18|460,38
26,487534|284,48|458,6
26,517574|274,54|454,92
26,517574|259,62|469,63
26,517574|296,92|470,88
26,517574|268,25|455,22
26,557631|287,41|465,07
26,557631|267,85|462,41
26,577663|250,7|458,46
26,587671|293,54|466,09
26,587671|286,96|472,99
26,597687|251,49|462,02
26,607702|287,79|470,5
26,61771|261,95|453,52
26,61771|279,93|465,14
26,627726|297,73|465,77
26,627726|315,58|459,75
26,637741|270,49|454,04
26,647757|302,65|470,35
26,647757|264,69|466,12
26,647757|289,98|464,12
26,657764|325,04|463,15
26,687803|325,12|468,57
26,707834|262,05|460,06
26,71785|295,73|461,23
26,737873|297,02|465,87
26,737873|290,16|466,41
26,747887|264,55|467,48
26,757902|282,53|469,19
26,757902|307,76|467,65
26,757902|317,88|468,06
26,76791|258,48|458,97
26,777925|278,51|461,66
26,787941|296,66|467,08
26,797947|283,53|472,06
26,837999|281,26|472,84
26,848015|279,68|468,83
26,858028|265,9|455,72
26,868036|280,06|464,8
26,868036|265,83|459,21
26,888065|301,99|461,33
26,888065|291,57|470,13
26,888065|291,17|469,07
26,898079|337,16|464,12
26,908087|324,92|474,18
26,9181|273,85|473,21
26,938122|291,15|470,4
26,958151|249,36|457,22
26,968164|272,27|459,66
26,978172|314,39|457,25
26,988186|268,48|468,92
26,988186|290,06|467,21
26,998199|275,7|460,58
26,998199|284,54|459,95
27,008215|287,76|457,17
27,018221|275,15|454,66
27,028234|284,46|473,47
27,038248|295,37|474,73
27,038248|270,08|461,1
27,05827|277,08|455,28
27,05827|344,25|463,26
27,068283|269,28|455,5
27,098316|299,5|462,38
27,098316|265,39|457,3
27,10833|285,91|467,5
27,10833|347,55|470,29
27,128349|311,67|462,15
27,138363|258,21|459,34
27,138363|287,6|467,01
27,148376|308,97|468,12
27,148376|291,28|459,69
27,148376|290,29|459,13
27,158382|291,18|466,39
27,158382|277,67|455,92
27,158382|276,18|467,55
27,17841|271,96|459,98
27,188416|293|466,38
27,188416|294,76|475,68
27,198429|315,58|472,42
27,208443|271,29|454,92
27,218456|281,88|462,7
27,22846|314,72|471,67
27,22846|304,92|467,8
27,238474|289,69|460,17
27,258501|274,02|469,33
27,268507|297,72|471,57
27,278519|297,8|461,44
27,288532|296,44|468,68
27,288532|311,38|465,29
27,298538|308,31|469,12
27,318563|303,28|470,48
27,318563|292,92|469,25
27,328575|0|0
27,338581|320,51|476,32
27,348595|280,33|460,32
27,358606|301,42|474,45
27,358606|279,52|463,61
27,378624|301,12|468,63
27,388638|288,64|460,86
27,398649|308,65|459,96
27,408655|336,14|459
27,418667|274,2|459,58
27,418667|263,27|457,55
27,438684|324,94|460,36
27,448696|276,54|455,88
27,448696|281,65|470,5
27,45871|276,52|459,77
27,45871|274,87|467,24
27,478725|284,03|465,38
27,488737|291,76|455,81
27,498751|273,73|468,55
27,498751|283,57|460,36
27,498751|315,34|475,81
27,508762|282,62|460,05
27,518766|296,49|467,77
27,528778|346,3|476,94
27,528778|309,33|464,18
27,53879|298,54|474,46
27,548796|287,22|460,89
27,548796|298,48|476,73
27,558807|295,42|461,19
27,568819|294,18|460,32
27,568819|285,26|458,61
27,578831|299,55|462,09
27,578831|278,45|455,21
27,578831|327,48|458,63
27,588835|286,52|462,05
27,598846|311,4|472,13
27,598846|293,09|466,79
27,598846|294,26|473,79
27,598846|298,53|474,71
27,618862|309,14|468,78
27,618862|282,34|461,39
27,618862|277,94|467,07
27,618862|344,85|469,83
27,628874|298,77|460,92
27,638885|289,51|462,29
27,658901|291,7|458,95
27,678925|272,59|458,32
27,678925|314,72|469,98
27,698938|321,45|480,33
27,698938|280,76|470,94
27,698938|275,16|458,37
27,698938|299,12|467,15
27,698938|281,43|463,33
27,698938|321,58|475,48
27,718962|281,48|460,81
27,738976|304,96|471,03
27,748987|316,87|470,21
27,758999|299,87|468,21
27,758999|276,44|458,76
27,758999|314,71|470,04
27,769003|294,37|461,54
27,779013|311,05|476,65
27,799026|310,11|467,98
27,809038|302,88|471,92
27,809038|296,48|461,47
27,809038|276,73|469,83
27,81905|331,83|475,49
27,81905|288,56|460,15
27,82906|281,33|474,44
27,82906|285,75|465,04
27,849073|278,71|466,35
27,859085|339,82|468,17
27,879099|279,95|461,24
27,879099|295,47|474,76
27,879099|283,79|466,93
27,879099|335,7|459,37
27,879099|283,44|458,54
27,89912|311,12|475,58
27,89912|292,8|459,96
27,89912|313,52|463,83
27,919132|312,43|461,21
27,929144|291,5|465,78
27,939146|282,34|468,56
27,939146|291,32|456,54
27,939146|278,44|459,49
27,939146|279,23|474,99
27,949156|282,69|458,96
27,959167|318,41|461,85
27,979179|319,41|476,61
27,989189|307,51|473,66
27,999201|310,39|467,67
27,999201|274,77|468,3
27,999201|296,83|460,16
28,009211|300,92|469,98
28,019213|339,04|472,44
28,039232|318,05|470,07
28,049234|291,36|459,22
28,059244|304,9|466,22
28,059244|301,14|455,88
28,079264|277,3|459,2
28,079264|264,62|462,81
28,089266|293,41|471,01
28,089266|297,35|457,79
28,119287|288,26|455,04
28,119287|274,42|466,85
28,129297|318,59|477,91
28,129297|309,11|458,43
28,159319|311|462,76
28,159319|296,1|460,72
28,159319|314,08|470,65
28,159319|302,99|469,45
28,159319|265,54|455,25
28,169329|290,95|463,87
28,179338|281,32|459,01
28,179338|289,86|465,26
28,189339|301,18|467,24
28,199348|301,71|460,83
28,209358|313,14|470,57
28,209358|259,7|460,08
28,219368|312,62|468,11
28,219368|345,75|469,63
28,229368|311,8|460,85
28,249388|292,17|466,71
28,249388|304,76|460,81
28,259398|313,59|474,52
28,259398|317,27|461,13
28,259398|309,5|469,33
28,269398|292,54|456,92
28,299417|317,33|465,85
28,299417|341,75|468,85
28,309427|284,02|455,47
28,319435|300,39|462,36
28,319435|281,16|461,07
28,329445|323,81|470,33
28,329445|307,42|461,55
28,329445|306,33|470,08
28,339445|316,62|461,98
28,339445|307,24|459,98
28,339445|274,31|458,25
28,349455|309,37|478,03
28,359463|308,43|461,13
28,359463|292,06|458,22
28,369463|290,09|473,34
28,379473|289,95|469,41
28,39949|278,42|471,84
28,409491|336,86|479,77
28,419498|308,09|462,08
28,419498|327,47|469,38
28,429508|299,75|478,49
28,429508|286,71|468,84
28,439508|322,7|469,27
28,439508|306,82|460,8
28,449516|283,52|456,65
28,449516|294,45|462,94
28,469534|327,73|459,14
28,469534|298,89|460,63
28,489542|284,02|468,29
28,49955|286,39|456,46
28,49955|319,72|478,44
28,509558|343,83|469,66
28,519558|313,76|466,48
28,529566|300,49|460,14
28,529566|294,04|469,4
28,529566|306,8|469,09
28,539574|329,98|464,19
28,549576|305,11|461,44
28,549576|328,93|480,35
28,559584|310,75|461,96
28,559584|303,49|468,01
28,579599|303,99|467,76
28,5896|277,07|467,22
28,5896|300,36|467,28
28,599606|328,98|464,56
28,599606|343,62|468,92
28,609613|315,27|462,18
28,619614|335,84|476,61
28,639629|324,93|477,44
28,669645|310,01|474,07
28,669645|357,21|468,47
28,679651|315,96|465,69
28,679651|268,26|468,55
28,689651|323,67|471,07
28,689651|296,43|470,64
28,699659|327,35|461,36
28,709667|318,78|460,43
28,719673|286,81|459,25
28,719673|302,14|462,84
28,729673|334,14|463,76
28,739681|273,97|468,12
28,739681|300,15|462,12
28,739681|286,47|471,01
28,739681|304,47|469,98
28,739681|283,13|464,34
28,749687|274,28|457,15
28,759695|319,95|468
28,759695|307,32|455,86
28,789707|279,71|454,1
28,799707|296,71|456,35
28,809715|259,87|458,97
28,809715|332,76|468,27
28,819721|275,5|461,2
28,819721|301,3|452,37
28,829727|304,17|456,2
28,839727|296,21|458,72
28,839727|293,9|474,56
