country;store_ulr;address
Sweden;https://www.lego.com/en-us/stores/stores/se/stockholm;RÅSTA STRANDVÄGEN 19 169 56 SOLNA
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/bluewater;BLUEWATER SHOPPING CENTRE DA9 9SR GREENHITHE
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/brighton;CHURCHILL SQ SHOPPING CTR BN1 2TF BRIGHTON
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/cardiff;ST DAVIDS DEWI SANT CF10 2EF CARDIFF
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/glasgow;220 BUCHANAN ST G1 2FF GLASGOW
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/leeds;ALBION STREET, UNTI 3.12 LS1 5AT LEEDS
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/liverpool;LIVERPOOL ONE SHOPPING CTR L1 8BJ LIVERPOOL
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/london-leicester-square;3 SWISS COURT W1D 6AP LONDON
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/london-stratford;WESTFIELD STRATFORD CITY E20 1EH WESTFIELD STRATFORD CITY
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/london-westfield;ARIEL WAY, SHEPHERD'S BUSH W12 7GF LONDON
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/manchester;ARNDALE SHOPPING CENTRE M4 3AQ MANCHESTER
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/milton-keynes;33 MIDSUMMER PLACE MK9 3GB MILTON KEYNES
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/metro-centre-newcastle;UNIT 73, METROCENTRE NE11 9YG GATESHEAD
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/sheffield;MEADOWHALL SHOPPING CENTRE S9 1EP SHEFFIELD
United Kingdom;https://www.lego.com/en-us/stores/stores/uk/watford;INTU WATFORD WD17 2UB WATFORD
USA;https://www.lego.com/en-us/stores/stores/us/riverchase-galleria-mall;3000  RIVERCHASE GALLERIA #166 BIRMINGHAM AL 35244-2319
USA;https://www.lego.com/en-us/stores/stores/us/arrowhead-towne-ctr;7700 W. ARROWHEAD TOWNE CTR GLENDALE AZ 85308
USA;https://www.lego.com/en-us/stores/stores/us/chandler-fashion-center;3111 W. CHANDLER BLVD CHANDLER AZ 85226-5071
USA;https://www.lego.com/en-us/stores/stores/us/arden-fair-mall;1689 ARDEN WAY - SPACE 2170 SACRAMENTO CA 95815-4030
USA;https://www.lego.com/en-us/stores/stores/us/anaheim;1585 S. DISNEYLAND DR ANAHEIM CA 92802-2320
USA;https://www.lego.com/en-us/stores/stores/us/fashion-valley;7007 FRIARS ROAD, SPACE 965A SAN DIEGO CA 92108-1199
USA;https://www.lego.com/en-us/stores/stores/us/glendale-galleria;2130 GLENDALE GALLERIA GLENDALE CA 91210-2101
USA;https://www.lego.com/en-us/stores/stores/us/hillsdale-shopping-center;341 HILLSDALE MALL SAN MATEO CA 94403-3426
USA;https://www.lego.com/en-us/stores/stores/us/ontario-mills;1 MILLS CIR STE 631 ONTARIO CA 91764-5255
USA;https://www.lego.com/en-us/stores/stores/us/south-coast-plaza;3333 BRISTOL STREET, SPC 1042 COSTA MESA CA 92626-1813
USA;https://www.lego.com/en-us/stores/stores/us/stoneridge-shopping-center;1444 STONERIDGE MALL, D117A PLEASANTON CA 94588-3215
USA;https://www.lego.com/en-us/stores/stores/us/the-shops-at-mission-viejo;555 THE SHOPS AT MISSION VIEJO MISSION VIEJO CA 92691-6514
USA;https://www.lego.com/en-us/stores/stores/us/san-francisco;865 MARKET STREET SPC C41 SAN FRANCISCO CA 94103-1953
USA;https://www.lego.com/en-us/stores/stores/us/topanga;6600  TOPANGA CANYON BLVD CANOGA PARK CA 91303
USA;https://www.lego.com/en-us/stores/stores/us/san-diego;4545 LA JOLLA VILLAGE DRIVE SAN DIEGO CA 92122
USA;https://www.lego.com/en-us/stores/stores/us/valley-fair;2855 STEVENS CREEK BLVD SANTA CLARA CA 95050-6709
USA;https://www.lego.com/en-us/stores/stores/us/colorado-mills;14500 W COLFAX AVE LAKEWOOD CO 80401-3203
USA;https://www.lego.com/en-us/stores/stores/us/park-meadows;8401 PARK MEADOWS CTR DR #1175 LONE TREE CO 80124-5128
USA;https://www.lego.com/en-us/stores/stores/us/danbury-fair;7 BACKUS AVE DANBURY CT 06810
USA;https://www.lego.com/en-us/stores/stores/us/westfarms-mall;1500 NEW BRITAIN AVENUE WEST HARTFORD CT 06110
USA;https://www.lego.com/en-us/stores/stores/us/christiana-mall;132 CHRISTIANA MALL, #1547 NEWARK DE 19702-3202
USA;https://www.lego.com/en-us/stores/stores/us/aventura-mall;19575 BISCAYNE BLVD, RM 353 MIAMI FL 33180-2331
USA;https://www.lego.com/en-us/stores/stores/us/orlando;1672 E BUENA VISTA DR LAKE BUENA VISTA FL 32830-8401
USA;https://www.lego.com/en-us/stores/stores/us/sawgrass-mills;12801 W SUNRISE BLVD, SP. 1011 SUNRISE FL 33323-4007
USA;https://www.lego.com/en-us/stores/stores/us/north-point-mall;1000 NORTH POINT CIRCLE  #1150 ALPHARETTA GA 30022-4853
USA;https://www.lego.com/en-us/stores/stores/us/sugarloaf-mills;5900 SUGARLOAF PKWY LAWRENCEVILLE GA 30043-7854
USA;https://www.lego.com/en-us/stores/stores/us/ala-moana-center;1450 ALA MOANA BLVD STE 2032 HONOLULU HI 96814-4614
USA;https://www.lego.com/en-us/stores/stores/us/gurnee-mills;6170 W GRAND AVE GURNEE IL 60031
